generation,height,parentVariety,influence,chaos,mutability,range,totalInfluenceWeight,cantAttributes,totalSeeds,totalCalories,foodAmount,leftSeeds
generation,height,parentVariety,influence,chaos,mutability,range,totalInfluenceWeight,cantAttributes,totalSeeds,totalCalories,foodAmount,leftSeeds
0,30,Dark Potato,0.930313651502034,0.06968634849796596,0.5091025757303475,0.22616261328956824,0.2,1,8,1014177.2451804711,5334,2049
1,47,Dark Potato,0.9008888464409559,0.0991111535590441,0.5091025757303475,2.1548101287570893,0,1,7,1023903.1879197459,5399,2088
2,31,Dark Potato,0.9076140668725281,0.0923859331274719,0.5091025757303475,2.3165050897611676,0,1,7,1032080.4526931338,5457,2126
3,11,Dark Potato,0.9059982690831208,0.09400173091687924,0.5091025757303475,1.7233235176243484,0,1,8,1049028.7278548665,5561,2170
4,17,Dark Potato,0.9250536362171872,0.07494636378281283,0.5091025757303475,1.3715125518096523,0,1,7,1062525.1034546006,5653,2219
5,24,Dark Potato,0.9245845133019095,0.0754154866980905,0.5091025757303475,1.3348050727233707,0,1,6,1078621.5339373422,5747,2258
6,38,Dark Potato,0.9352901665813282,0.06470983341867176,0.5091025757303475,1.0020911519487354,0,1,7,1090766.2084077124,5821,2294
7,27,Dark Potato,0.9227780107801468,0.07722198921985324,0.5091025757303475,0.9501717162746812,0,1,5,1104735.739190263,5906,2337
8,43,Dark Potato,0.9119248535971036,0.08807514640289638,0.5091025757303475,1.0597129826617646,0,1,7,1114189.1086276514,5965,2369
9,30,Dark Potato,0.9107244119919129,0.0892755880080871,0.5091025757303475,2.011593326842294,0.2,1,4,1122984.7043981575,6025,2405
10,87,Dark Potato,0.45536713121355343,0.5446328687864466,0.5091025757303475,25.585180791851077,0.04,1,4,1124181.7257751804,6031,2412
11,36,Red Potato,0.22772598253838525,0.7722740174616147,0.6988596121565236,37.61489185494842,0.26363636363636367,1,1,1125300.4992082939,6036,2417
12,60,Yellow Potato,0.5165558567287332,0.48344414327126684,0.8232103129607459,38.402201208061186,0.5129032258064516,1,1,1125300.4992082939,6036,2418
13,25,Yellow Potato,0.25829307686368563,0.7417069231363144,0.8232103129607459,41.14367369301846,0.5297794117647059,1,2,1125724.7456497897,6039,2420
14,39,Dark Potato,0.56914804514099,0.43085195485900996,1.002369182000239,37.35537167391264,0.3105263157894737,1,4,1126759.1667446964,6045,2428
15,52,Dark Potato,0.5311243761929914,0.46887562380700865,1.002369182000239,46.40270744839661,0.6100000000000001,1,4,1129430.30764413,6060,2444
16,79,Dark Potato,0.2655760089785764,0.7344239910214236,1.002369182000239,86.328064868351,0.23445378151260504,2,0,1130305.4087716585,6065,2451
